index,value
0,0.083
1,0.087
2,0.087
3,0.102
4,0.098
5,0.097
6,0.107
7,0.109
8,0.108
9,0.099
10,0.089
11,0.084
12,0.087
13,0.086
14,0.078
15,0.083
16,0.081
17,0.074
18,0.07
19,0.064
20,0.06
21,0.06
22,0.056
23,0.06
24,0.064
25,0.066
26,0.071
27,0.08
28,0.078
29,0.08
30,0.095
31,0.083
32,0.083
33,0.091
34,0.104
35,0.111
36,0.113
37,0.099
38,0.096
39,0.092
40,0.088
41,0.08
42,0.074
43,0.081
44,0.084
45,0.083
46,0.079
47,0.081
48,0.077
49,0.07
50,0.077
51,0.07
52,0.064
53,0.066
54,0.06
55,0.06
56,0.058
57,0.06
58,0.056
59,0.055
60,0.062
61,0.058
62,0.056
63,0.06
64,0.063
65,0.062
66,0.07
67,0.071
68,0.071
69,0.078
70,0.09
71,0.09
72,0.091
73,0.09
74,0.086
75,0.086
76,0.088
77,0.087
78,0.082
79,0.084
80,0.082
81,0.074
82,0.065
83,0.067
84,0.061
85,0.056
86,0.062
87,0.069
88,0.074
89,0.074
90,0.071
91,0.064
92,0.061
93,0.055
94,0.058
95,0.059
96,0.055
97,0.051
98,0.051
99,0.05
100,0.051
101,0.051
102,0.047
103,0.047
104,0.041
105,0.038
